Id,Label,timeset,topgenre,Degree,modularity_class,componentnumber
1128,Wendi McLendon-Covey,,Comedy,6,2,0
1129,Kevin Nealon,,Comedy,3,2,0
1178,Dick Van Dyke,,Adventure,3,2,0
1274,Amy Schumer,,Comedy,3,2,0
1275,Colin Quinn,,Comedy,3,2,0
1280,Amy Poehler,,Comedy,6,2,0
1281,Lewis Black,,Animation,6,2,0
1282,Mindy Kaling,,Animation,3,2,0
1295,Alia Shawkat,,Crime,6,2,0
1305,Peter Dinklage,,Comedy,6,2,0
1310,Pierre Coffin,,Animation,3,2,0
1348,Linda Cardellini,,Comedy,6,2,0
1353,Shameik Moore,,Comedy,3,2,0
1354,Tony Revolori,,Drama,6,2,0
1355,Kiersey Clemons,,Comedy,3,2,0
1356,Kimberly Elise,,Comedy,3,2,0
1357,Jorge Garcia,,Comedy,3,2,0
1385,Natalie Martinez,,Action,3,2,0
1386,Andy Samberg,,Comedy,9,2,0
1387,Ike Barinholtz,,Comedy,3,2,0
1404,Max Greenfield,,Comedy,3,2,0
1405,Tyne Daly,,Comedy,3,2,0
1463,Morena Baccarin,,Action,3,2,0
1464,Ed Skrein,,Action,3,2,0
1478,John Carroll Lynch,,Biography,3,2,0
1479,Gabriel Chavarria,,Drama,3,2,0
1480,Theo Rossi,,Drama,3,2,0
1507,Kate McKinnon,,Action,3,2,0
1508,Leslie Jones,,Action,3,2,0
1620,Glenn Close,,Drama,3,2,0
1621,Dominique Tipper,,Drama,3,2,0
1622,Paddy Considine,,Drama,3,2,0
1637,Eddie Izzard,,Animation,3,2,0
1653,Isla Fisher,,Action,3,2,0
1654,Gal Gadot,,Action,6,2,0
1655,Ross Kimball,,Action,3,2,0
1679,Katie Crown,,Animation,3,2,0
1680,Kelsey Grammer,,Animation,3,2,0
1748,Nancy Kwan,,Drama,3,2,0
1749,Annabelle Attanasio,,Drama,3,2,0
1824,Jorma Taccone,,Comedy,3,2,0
1825,Akiva Schaffer,,Comedy,3,2,0
1857,Ella Anderson,,Comedy,3,2,0
1,Hugh Jackman,,Drama,41,3,0
3,Michael Caine,,Drama,17,3,0
82,Patrick Stewart,,Action,8,3,0
83,Halle Berry,,Action,6,3,0
84,Famke Janssen,,Action,7,3,0
109,Rachel Weisz,,Drama,24,3,0
110,Sean Patrick Thomas,,Drama,3,3,0
111,Ellen Burstyn,,Drama,6,3,0
133,Lee Pace,,Adventure,3,3,4
134,Catinca Untaru,,Adventure,3,3,4
135,Justine Waddell,,Adventure,3,3,4
136,Kim Uylenbroek,,Adventure,3,3,4
355,Tom Wilkinson,,Action,11,3,0
369,Liam Neeson,,Action,26,3,0
370,Maggie Grace,,Action,10,3,0
371,Leland Orser,,Action,3,3,0
418,Shea Adams,,Adventure,3,3,0
419,Eddie Baroo,,Adventure,3,3,0
434,Mathieu Amalric,,Adventure,6,3,0
482,Sam Worthington,,Action,16,3,0
501,Danny Huston,,Action,3,3,0
566,Robert Duvall,,Drama,6,3,0
580,Anton Yelchin,,Action,6,3,0
581,Moon Bloodgood,,Action,3,3,0
620,Adrien Brody,,Adventure,6,3,0
665,Ralph Fiennes,,Adventure,19,3,0
666,Jason Flemyng,,Action,3,3,0
692,Billy Bob Thornton,,Crime,6,3,0
693,Mauricio Lopez,,Action,3,3,0
737,Viola Davis,,Drama,21,3,0
767,Brooklyn Decker,,Comedy,6,3,0
850,Rihanna,,Adventure,6,3,0
898,Kelly Macdonald,,Animation,3,3,0
899,Billy Connolly,,Animation,3,3,0
900,Emma Thompson,,Comedy,9,3,0
901,Julie Walters,,Animation,3,3,0
972,Will Yun Lee,,Action,3,3,0
973,Tao Okamoto,,Action,3,3,0
974,Rila Fukushima,,Action,3,3,0
1005,Alice Englert,,Drama,3,3,0
